Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
1,https://bibliotheque-numerique.inha.fr/iiif/35311/manifest,non,BJP,https://bibliotheque-numerique.inha.fr/idurl/1/35311,Londres,Grafton Galleries,"Second post-impressionist exhibition​, British, French and Russian artists",1912,octobre,5,1912,décembre,31,Royaume-Uni,,,,,,,,,,,
1,https://bibliotheque-numerique.inha.fr/iiif/26791/manifest,non,BJP,https://bibliotheque-numerique.inha.fr/viewer/26791/?offset=#page=6&viewer=picture&o=bookmark&n=0&q,Bruxelles,non,Exposition des peintres impressionnistes : Libre Esthétique,1904,février,25,,mars,22,Belgique,,,,,,,,,,,
1,https://bibliotheque-numerique.inha.fr/iiif/49980/manifest,non,BJP,https://bibliotheque-numerique.inha.fr/viewer/49980/?offset=#page=2&viewer=picture&o=bookmark&n=0&q,Londres,Mansard Gallery,French Art 1914-1919,1919,août ,non,1919,août ,non,Royaume-Uni,,,,,,,,,,,
,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k55774384/manifest.json,non,BJP,ark:/12148/bpt6k55774384,Blois,Château de Blois (salles du bâtiment de gaston d'Orléans),XIIe exposition des Beaux-Arts et Arts Industriels Modernes,1905,juillet,13,1905,août ,15,France,Loir et Cher,,,,,,,,,,
,,,,Ensemble des catalogues numérisés de la Société Lorraine des Amis des Arts : https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&collapsing=disabled&query=%28gallica%20all%20%22catalogue%20exposition%20art%22%29%20and%20arkPress%20all%20%22cb327380054_date%22&rk=257512;0,,,,,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62251805/manifest.json,non,BJP,ark:/12148/bpt6k62251805,Nancy,non ,"Exposition de 1843, à Nancy. Catalogue des peintures, miniatures, aquarelles, pastels, sépias, dessins, lavis, sculptures, exposés à Nancy en juin 1843. Septième année.",1843,juin,non ,non ,non ,non ,France,Lorraine,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6224576b/manifest.json,,,ark:/12148/bpt6k6224576b,Nancy,non ,"Exposition de 1845, à Nancy. Catalogue des peintures, miniatures, aquarelles, pastels, sépias, dessins, lavis, sculptures, exposés à Nancy en juin 1845. Huitième année.",1845,juin,non,non ,non ,non ,France,Lorraine,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62275056/manifest.json,,,ark:/12148/bpt6k62275056,Nancy,non,"Catalogue des peintures, miniatures, aquarelles, pastels, sépias, dessins, lavis, sculptures, exposés à Nancy en juin 1847. Neuvième année.",1847,juin,non ,non ,non ,non ,France,Lorraine,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62276311/manifest.json,,,ark:/12148/bpt6k62276311,Nancy,non,"Catalogue des peintures, miniatures, aquarelles, pastels, sépias, dessins et sculptures, exposés à Nancy en juin 1849. Dixième année.",1849,juin,non ,non ,non ,non ,France,Lorraine,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6229011t/manifest.json,,,ark:/12148/bpt6k6229011t,Nancy,non,Catalogue XXIXe exposition ,1892,non,non ,non ,non ,non ,France,Lorraine,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6228667z/manifest.json,,,ark:/12148/bpt6k6228667z,Nancy,non,Catalogue XXXe exposition ,1893,non,non ,non ,non ,non ,France,Lorraine,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525044704/manifest.json,non,BJP,ark:/12148/btv1b525044704,Paris ,9 Boulevard de la Madeleine,Claude Monet,1883,mars,1,1883,mars,25,France,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k321659b/manifest.json,non,BJP,ark:/12148/bpt6k321659b,Paris ,Galeries Georges Petit ,Charles Cottet,1911,juin,14,1911,juillet ,13,France ,,,,,,,,,,,
3,?,non,BJP,https://issuu.com/bienal/docs/name3fe634,Sao Paulo,Musée d'art moderne de Sao Paulo,I Bienal do Museu de Arte Moderna de Sao Paulo,1951,octobre ,non,1951,décembre ,non,Brésil,,,,,,,,,,,
3,?,non,BJP,https://issuu.com/bienal/docs/name24c514,Sao Paulo,Musée d'art moderne de Sao Paulo,II Bienal do Museu de Arte Moderna de Sao Paulo,1953,décembre ,non,1954,février ,non ,Brésil ,,,,,,,,,,,
3,?,non,BJP,https://issuu.com/bienal/docs/named27014,Sao Paulo,Musée d'art moderne de Sao Paulo,III Bienal ,1955,juin,non,1955,octobre ,non,Brésil,,,,,,,,,,,
3,?,non,BJP,https://issuu.com/bienal/docs/namedb4cb4,Sao Paulo,Musée d'art moderne de Sao Paulo,"IV Bienal do Museu de Arte Moderna de S. Paulo, catálogo geral",1957,septembre ,non ,1957,décembre ,non ,Brésil,,,,,,,,,,,
,"
",non,BJP,http://www.mauc.ufc.br/,Fortaleza,,,,,,,,,,,,,,,,,,,,
3,,non,BJP,https://catalog.hathitrust.org/Record/000642649,,,Venise - biennale,,,,,,,,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Prima esposizione internazionale d'arte della citta di venezia. Catalogo illustrato.,1895,avril,28,1895,octobre,21,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Seconda Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1897,avril,22,1897,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Terza Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1899,avril,22,1899,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Quarta Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1901,avril,22,1901,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Quinta Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1903,avril,22,1903,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,VI Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1905,avril,22,1905,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Settima Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1907,avril,22,1907,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Ottava Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1909,avril,22,1907,octobre,31,Italie ,,,,,,,,,,,
