Nommage_fichier,Type_source,Contributeur,Titre,Auteur,Directeur,Editeur,Editeur_scientifique,Lieu_publication_en,Date_publication,Annee_1er_numero,Annee_dernier_numero,Langue_source,Format,Licence,Source_diffuseur,Depot,Numerise_par,Date_numerisation,Notes_ressource,Type_evenement,Date_debut_exposition,Date_fin_exposition,Titre_exposition,Exposition_itinerante,Ville_exposition_en,Pays_en,Etat_en,Titre_groupe_expositions,Type_groupe_expositions,Titre_section,Adresse_section_decrite_dans_catalogue,Lieu_exposition_section_unique,Type_lieu,Numero_et_nom_rue_section,Etage_section,Lieu-dit_section,Complement_adresse_section,Notes_section,Manifeste_IIIF
exhibCat_1925_Paris_ChineExpositionInternationaleArtsDecoratifs,exhibition_catalog,Auriane Quoix,La Chine à l'Exposition internationale des arts décoratifs et industriels modernes à Paris. Catalogue des œuvres d'art décoratif artistique et industrielles modernes exposées dans la section chinoise.,,,Imprimerie Labor,Exposition internationale (1925 ; Paris),Paris,1925,,,fr,1 vol. (40 p.) ; 25 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k317898c,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1925-04-28,1925-11-30,La Chine à l'exposition internationale des arts décoratifs et industriels modernes à Paris,fixed,Paris,France,,,artists_group,Section de Chine,"Au Grand Palais - 1er étage, à gauche de la salle des Congrès",Grand Palais,room,"3, avenue du Général Eisenhower",1er étage,,à gauche de la salle des Congrès,"La Galerie de Chine se trouve au premier étage du Grand Palais, à gauche de la Salle du Congrès, et près des Galeries de la Manufacture des Gobelins et de la Section Russe. Elle est composée de huit stands et de deux vestibules. La porte d'honneur se trouve du côté de la Section Russe et représente une décoration de chimères chinoises évoluées.",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k317898c/manifest.json
exhibCat_1899_Paris_LithographiesFantin-Latour,exhibition_catalog,Auriane Quoix,Catalogue des lithographies originales de Henri Fantin-Latour : Expositions périodiques d'estampes. Troisième exposition (1er juin 1899),Léonce Bénédite (1859-1925),,Librairies-imprimeries réunies,Musée du Luxembourg (Paris ; 1818-1937),Paris,1899,,,fr,1 vol. (64 p.) : fig. ; in-8,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k6573766f,Bibliothèque de l'INHA / coll. J. Doucet,Bibliothèque nationale de France,,,exhibition,1899-06-01,,Expositions périodiques d'estampes. Troisième exposition,fixed,Paris,France,,,simple_exhibition,,,Musée national du Luxembourg,museum,"19, rue de Vaugirard",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6573766f/manifest.json
exhibCat_1883_Paris_ExpositionRetrospectiveArtJaponais,exhibition_catalog,Auriane Quoix,Catalogue de l'exposition rétrospective de l'art japonais,Louis Gonse (1846-1921),,A. Quantin,,Paris,1883,,,fr,1 vol. (495 p.) : fig. ; in-8,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k6373975m,Bibliothèque nationale de France,,,,exhibition,1883-04,1883-05,Exposition rétrospective de l'art japonais,fixed,Paris,France,,,simple_exhibition,,,Galeries Georges Petit,gallery,"8, rue de Sèze",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6373975m/manifest.json
exhibCat_1886_Paris_ExpositionMaitresSiecle,exhibition_catalog,Auriane Quoix,Catalogue. Exposition de Maîtres du Siècle,,,,,Paris,1886,,,fr,1 vol. (28 p.),https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/btv1b7200759d,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1886-04,1886-05,Exposition de Maîtres du Siècle,fixed,Paris,France,,,simple_exhibition,,"Ancien atelier de Gustave Doré, 3, rue Bayard",Ancien atelier de Gustave Doré,other_type,"3, rue Bayard",,,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b7200759d/manifest.json
exhibCat_1890_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,Société des artistes indépendants. Catalogue des œuvres exposées. 6e exposition,Salon des indépendants,,Société des artistes indépendants,,Paris,1890,,,fr,1 vol. (42 p.) ; 17 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k933463t,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1890-03-20,1890-04-27,"6e exposition, pavillon de la ville de Paris, du 20 mars au 27 avril",fixed,Paris,France,,Salon des indépendants,salon,,Pavillon de la ville de Paris,Pavillon de la Ville de Paris,room,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49789g/manifest.json
exhibCat_1892_Paris_SocieteArtistesIndependants,exhibition_catalog,Auriane Quoix,Société des artistes indépendants. Catalogue des œuvres exposées.,Salon des indépendants,,Société des artistes indépendants,,Paris,1892,,,fr,1 vol. (75 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k1269951h,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1892-03-19,1892-04-27,"8e Exposition du 19 mars au 27 avril 1892, Pavillon de la ville de Paris, Champs Elysées",fixed,Paris,France,,Salon des indépendants,salon,,Pavillon de la ville de Paris (Champs-Elysées),Pavillon de la ville de Paris,room,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1269951h/manifest.json
exhibCat_1901_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 17, Catalogue des oeuvres exposées 1901",Salon des indépendants,,,,Paris,1901,,,fr,1 vol. (61 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k326416k?rk=64378;0,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1901-04-20,1901-05-21,"17e exposition, grandes serres de l'Exposition universelle [Paris]..., du 20 avril au 21 mai...",fixed,Paris,France,,Salon des indépendants,salon,,grandes serres de l'Exposition universelle (Cours-la-Reine),grandes serres de l'Exposition universelle,other_type,Cours-la-Reine,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k326416k/manifest.json
exhibCat_1903_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 19, Catalogue de la 19e exposition 1903",Salon des indépendants,,,,Paris,1903,,,fr,1 vol. (128 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k3264156?rk=85837;2,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1903-03-20,1903-04-25,"19e exposition 1903 : Grandes serres de la ville de Paris..., du 20 mars au 25 avril...",fixed,Paris,France,,Salon des indépendants,salon,,Grandes serres de la Ville de Paris (Cours-la-Reine,Grandes serres de la Ville de Paris ,other_type,Cours-la-Reine,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3264156/manifest.json
exhibCat_1913_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 29, Catalogue de la 29e exposition.",Salon des indépendants,,,,Paris,1913,,,fr,1 vol. (318 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k8892045?rk=236052;4,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1913-03-19,1913-05-18,"29e exposition, 1913 : Quai d'Orsay, Pont de l'Alma, du 19 mars au 18 mai inclus",fixed,Paris,France,,Salon des indépendants,salon,,"Quai d'Orsay, Pont de l'Alma",Quai d'Orsay,other_type,Pont de l'Alma,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8892045/manifest.json
exhibCat_1923_Paris_SocieteArtisesIndependants,exhibition_catalog,Caroline Corbières,"Société des artistes indépendants. 34, Catalogue de la 34e exposition 1923.",Salon des indépendants,,,,Paris,1923,,,fr,1 vol. (164 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k889198g?rk=321890;0,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1923-02-10,1923-03-11,"34e exposition 1923 : Grand Palais des Champs-Elysées, du 10 février au 11 mars",fixed,Paris,France,,Salon des indépendants,salon,,Grand Palais des Champs-Elysées,Grand Palais,other_type,Champs-Elysées ,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k889198g/manifest.json
exhibCat_1943_Paris_SocieteArtistesIndependants,exhibition_catalog,Caroline Corbières,Société des artistes indépendants. Catalogue de la 54e exposition,Salon des indépendants,,L'Emancipatrice,,Paris,1943,,,fr,1 vol. (147 p.) ; 18 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k9741112g?rk=751076;4,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1943-03-05,1943-04-11,"54e exposition : Musée d'art moderne de la ville de Paris, Avenue de Tokyo, du 5 mars au 11 avril inclus",fixed,Pa,France,,Salon des indépendants,salon,,Musée d'art moderne de la ville de Paris,Musée d'art moderne de la ville de Paris,museum,Avenue de Tokyo,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9741112g/manifest.json
exhibCat_1921_TheHague_ExpositionHollandaise,exhibition_catalog,Auriane Quoix,"Exposition hollandaise : tableaux, aquarelles et dessins anciens et modernes",Musée du Jeu de paume (Paris),,,,The Hague,1921,,,fr,1 vol. (22 p.- 14 pl.) ; 25 cm,https://gallica.bnf.fr/html/und/conditions-dutilisation-des-contenus-de-gallica,https://gallica.bnf.fr/ark:/12148/bpt6k6481622b,Bibliothèque nationale de France,Bibliothèque nationale de France,,,exhibition,1921-04,1921-05,"Exposition hollandaise : tableaux, aquarelles et dessins anciens et modernes",fixed,Paris,France,,,simple_exhibition,,,Musée du Jeu de Paume,museum,"1, Place de la Concorde",,,,,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6481622b/manifest.json
